id,avis
com.tencent.ig,zephino cest ton téléphone qui bug
com.tencent.ig,j joue depuis 5 ans c'est bien cette jeux mais elle ne me donne pas de Bonne chance
com.tencent.ig,bien
com.tencent.ig,bien
com.tencent.ig,j´adore pour lorsque j´ai du temp pour y joue top merci aux amdim
com.tencent.ig,propre et efficace
com.tencent.ig,j'adore ce jeu battle Royale c'est comme fortnite très bon jeu mes Pubg avec 100 players qui jeu pour avoir le top 1 c'est fun qui va être le meilleur très bonne qualité image du jeu je trouve très bonne qualité jeu image et parfait son et et parfait gameplay et parfait wow ping et parfait
com.tencent.ig,beaucoup de bug quand plusieurs joueurs est dans le même bâtiment le jeux ralenti
com.tencent.ig,j'ai changé d'avis j'ai mieux aimé blood strike
com.tencent.ig,ce jeu et souper cool
com.tencent.ig,روعة
com.tencent.ig,سئ
com.tencent.ig,masteur classe
com.tencent.ig,cinq 5
com.tencent.ig,🥰💯💯
com.tencent.ig,incroyable
com.tencent.ig,باقي لي نقطتين و اصير لمستوى ثاني وبعدين قتلت 17 وجيت المركز 11 و تنقسوني 17 يا كلاب؟
com.tencent.ig,trop génial
com.tencent.ig,goooooooood 💗✨😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻
com.tencent.ig,"dommage pas de première personne :) bon les graphismes ça se voit que c pubg sur mobile le jeux est littéralement remplie de bots mais vraiment 🤣,les mods son stylé les map sont varié est grande le jeux n'est pas pay2win juste les skin d'arme par contre il n'y a pas ASSEZ DE VÉHICULES, il n'y a pas d'avions je suis dégoûtée alors que le v pc il y a des avions que l'on peut conduire et il y a deathmatch le 2 mod le plus important il vaut 2 étoiles Bonne chance a se qui se lance dans (L'ENFER):)"
com.tencent.ig,"Faudrait ajouter l'ouverture de la porte arrière de l'avion,ça serait plus Stiller yes"
com.tencent.ig,bon jeu réaliste
com.tencent.ig,c'est ce jeu est plus que Free fire😁
com.tencent.ig,cooooooooool
com.tencent.ig,très cool
com.tencent.ig,ce jeu est très intéressant surtout pour les fans de jeux avec battle royale
com.tencent.ig,Vraiment top
com.tencent.ig,Svp ajouter l'équipement de crosse tactique sur le m762 et svp ajouter aussi le x95 tavor et stop that girly girly thing thème it's enough ajouté une fonction ou un algorithme pour les préférences masculine pour les hommes et les préférences féminine pour les femmes et autres . et que l'on puisse échanger nos ensemble qui ne convient pas aux genres que votre algorithme offres
com.tencent.ig,"Bon jeux, mais est-il possible de récupérer un compte piraté ?"
