id,avis,clean_avis
com.tencent.ig,zephino cest ton téléphone qui bug,zephino phone bug
com.tencent.ig,j joue depuis 5 ans c'est bien cette jeux mais elle ne me donne pas de Bonne chance,play year game not good luck
com.tencent.ig,j´adore pour lorsque j´ai du temp pour y joue top merci aux amdim,love tempt play thank amdim
com.tencent.ig,j'adore ce jeu battle Royale c'est comme fortnite très bon jeu mes Pubg avec 100 players qui jeu pour avoir le top 1 c'est fun qui va être le meilleur très bonne qualité image du jeu je trouve très bonne qualité jeu image et parfait son et et parfait gameplay et parfait wow ping et parfait,love battle royale game like fortnite good game advertising player play fun good good quality game image find good quality game image perfect sound perfect gameplay perfect wow ping perfect
com.tencent.ig,beaucoup de bug quand plusieurs joueurs est dans le même bâtiment le jeux ralenti,lot bug player build slowdown game
com.tencent.ig,j'ai changé d'avis j'ai mieux aimé blood strike,change mind like blood strike well
com.tencent.ig,ce jeu et souper cool,game cool supper
com.tencent.ig,باقي لي نقطتين و اصير لمستوى ثاني وبعدين قتلت 17 وجيت المركز 11 و تنقسوني 17 يا كلاب؟,point second level kill come th place dog
com.tencent.ig,"dommage pas de première personne :) bon les graphismes ça se voit que c pubg sur mobile le jeux est littéralement remplie de bots mais vraiment 🤣,les mods son stylé les map sont varié est grande le jeux n'est pas pay2win juste les skin d'arme par contre il n'y a pas ASSEZ DE VÉHICULES, il n'y a pas d'avions je suis dégoûtée alors que le v pc il y a des avions que l'on peut conduire et il y a deathmatch le 2 mod le plus important il vaut 2 étoiles Bonne chance a se qui se lance dans (L'ENFER):)",bad person graphic show c mobile game literally fill bot mod stylish map vary large game pay weapon skin hand vehicle plane disgusted v pc aircraft drive important mod worth star good luck embark hell
com.tencent.ig,"Faudrait ajouter l'ouverture de la porte arrière de l'avion,ça serait plus Stiller yes",add open rear door plane stiller yes
com.tencent.ig,bon jeu réaliste,good realistic game
com.tencent.ig,c'est ce jeu est plus que Free fire😁,game free fire
com.tencent.ig,ce jeu est très intéressant surtout pour les fans de jeux avec battle royale,game interesting especially game fan battle royale
com.tencent.ig,Svp ajouter l'équipement de crosse tactique sur le m762 et svp ajouter aussi le x95 tavor et stop that girly girly thing thème it's enough ajouté une fonction ou un algorithme pour les préférences masculine pour les hommes et les préférences féminine pour les femmes et autres . et que l'on puisse échanger nos ensemble qui ne convient pas aux genres que votre algorithme offres,add tactical butt equipment add x tavor stop girly thing theme itwrh add function algorithm male preference man female preference woman exchange ensemble suitable genre algorithm offer
com.tencent.ig,"Bon jeux, mais est-il possible de récupérer un compte piraté ?",good game possible recover hack account
com.tencent.ig,كانت العب حلو فعام 2018 لاكن للسف حاليا هي افشل العب فلعالم اولن اسكينات بنات ثانيه أخطاء متواصله بشكل قير طبيعي ببجي الفاشله 20000من لاعبين ببجي تركوها وهي حاليا للسف طبعا صارت للبنات هي العب احسن من ببجي الي يبي اسمها هو deltaforce أسطورية صراحه 🤩 احسن من ببجي ازفت وشكرا يا ولاد زفت,play sweet unfortunate failure play world ulan askinat second girl
com.tencent.ig,après toutes ces années toujours aussi lourd le jeu,year heavy game
com.tencent.ig,"ce jeu est bien, stylisée, multijoueur, actions..., dans le jeu !!! mais la première fois que vous installer cette application elle perdre trop de GO et MO...",game good stylize multiplayer action game time install application lose mo
com.tencent.ig,pas grand mots à dire le jeux est top raison de plus qu'il mérite ces 5 étoiles ⭐⭐⭐⭐⭐ avec le temps il pourra rivaliser avec Fortnite,big word game reason deserve star time compete fortnite
com.tencent.ig,"vous osez bloquer les actions d'un joueur Parce qu'il a blessé son coéquipier sans le faire exprès 😡, même lui il le savait Parce qu'il y avait des ennemies devant lui . franchement c'est vraiment stupide de votre part🤬",dare block action player injure teammate purpose know enemy frankly stupid
com.tencent.ig,de la vraie m bug sans arrêt latence joueur qui disparaît réseau qui ce retire a amélioré et vite,real bug constant player player disappear network withdraw improve quickly
com.tencent.ig,c'est un très bon jeux en tout cas je vous le conseille🥳,good game case recommend
com.tencent.ig,ARCHI BON JEU,archi good game
com.tencent.ig,Meilleur jeux du monde j'aime vraiment ce jeu c'est très bon tout est bon comme si c'est réel,good game world like game good good real
com.tencent.ig,"ce jeu est tellement incroyable que je ne suis pas dormi pendant deux jours,vraiment incroyable merci beaucoup pour le jeu tout le monde joue à pubg,moi je suis un pro professionnel dans tout la famille aurevoire 🤫🤫",game incredible sleep day incredible thank game play professional pro aurevoire family
com.tencent.ig,c'est cool parce que il y a beaucoup d'action😵🤠🥵👌,cool lot action
com.tencent.ig,Ce jeu est exigeant mais je Mets une étoile quand même 😭😭😭😭,game demand star
com.tencent.ig,trop lent à télécharger même si la connexion est bonne. mais les graphismes et le est vraiment wouah continuer comme ça,slow download connection good graphic wow continue like
com.tencent.ig,"mon jeu préféré de la terre, je dirais même ma 2eme femme 😭🪽",favorite game earth nd woman
com.tencent.ig,pubg est le meilleur jeu du monde il est extraordinaire,good game world extraordinary
com.tencent.ig,c'est un bon jeu mais le maniement des armes et les dégâts sont horribles du n'importe quoi c'est du aléatoire au bonheur la chance 4 balles de sniper le gars il encaisse normal armes la plus puissante du jeu une rafale d'un fusil d'assaut je meurs instantanément 30 balles pour réussir a tuer un ennemi 15 balles de pistolet ça tue pas ton adversaire un tir dans la tête l'ennemi il encaisse normal 2 tirs il encaisse encore parfois même 3 tirs il devrait prendre exemple sur call of mobile,good game handle weapon damage horrible randomness happiness sniper ball guy normal normal weapon powerful weapon game burst assault rifle instantly die ball succeed kill enemy ball pistol kill opponent shoot head shot example mobile
com.tencent.ig,le jeux est vraiment superbe j' adore,game superb love
com.tencent.ig,je n'ai pas encore essayé ceu jeux mais je sais je vais adore,not try game know love
com.tencent.ig,je sois mort rip🏴‍☠️,error server errorthat errorthere error try laterthat know
com.tencent.ig,C'est jeu et null au moins call of duty et free fire,game null free fire
com.tencent.ig,my phone vivo iqoo neo 10 pro dymoncity 9400 antutu 2691000 and 60 fps?!Will you add iqoo neo 10 pro in the next update?,phone vivo iqoo neo pro dymoncity antutu fpswill add iqoo neo pro update
com.tencent.ig,meilleurs jeux de monde 🤩,good world game
com.tencent.ig,la3ba ki ch3ar,laba ki char
com.tencent.ig,"très plaisant, joueurs Cool 👍",pleasant cool player
com.tencent.ig,هذه من احسن الالعاب اللي لعبتهم,good game play
com.tencent.ig,c'est le plus bon jeu de monde,goodest world game
com.tencent.ig,"rien à dire pour le jeu ,excellent mais eh,la comu franchie, ça c'est pour vous, calmer vous sur les insultes, cela reste 1 jeu convivial ou tout l'intérêt et de s'évader. à l'intention du Magreb ,merci c'est toujours 1 réel plaisir d'interagir avec vous et bien sur merci au concepteur.. jouer avec modération "" LA VRAI VIE T'ATTENDS FRÉROT """,game excellent eh comu crosse calm insult remain friendly game interest escape magreb thank real pleasure interact course thank designer play moderation real life await frérot
com.tencent.ig,play pubG it's the best game,play good game
com.tencent.ig,c'est vraiment bien et une bonne intelligence artificielle,good good artificial intelligence
com.tencent.ig,cella fait pratiquement 2ans je joue se jeux parfaire,practically year old play play perfect
com.tencent.ig,très très bon jeu a joué,good game play
com.tencent.ig,meilleurs jeux que j'ai jouer graphisme jolie mes bug un peut,good game play graphic pretty bug
com.tencent.ig,لاق و ياخذ مساحة كبيرة من الهاتف هذا مخصص للكمبيوتر و يكون من النوع الرفيع,meet take large area phone dedicated computer
com.tencent.ig,Magnifique jeu Je suis drogué par cette jeu Merci,beautiful game drug game thank
com.tencent.ig,لعبة واقعية راءع تقدم ڨرافك أسطوري ومستوى لعب ممتع ومع الأحداث الرائع الذي تنزل,realistic game offer legendary driver fun playing level great event come
com.tencent.ig,le 2eme jeux de toute ma vie après Gangstar vegas 4,nd games life gangstar vegas
com.tencent.ig,le jeux est tellement remplis de personnne toxic hacker vraiment je veux que sa soit supprimé se jeux du play store,game fill personnae toxic hacker want delete play play store
com.tencent.ig,"magnifique, splendide, palpitant game, meilleur que pubg ça n'existe pas",beautiful splendid thrilling game well exist
com.tencent.ig,كتبت فري فاير طلعلي بوبجي تبي تنشهر بالقوه,write fire fire talali bobji
com.tencent.ig,très bon jeux pour se détendre,good game relax
com.tencent.ig,j'adore ce jeux mais en ce moment il y a beaucoup de problème de serveur et ça dure la journée. et des fois je suis obligé de recommencer le jeu car il y a des joueurs je sais pas comment ils font il te tue avec quelques balles et toi non et surtout ils commencent a tirer alors que toi t'es derrière un mur je sais pas comment ils font pour tricher.,love game right lot server problem last day start game player not know kill bullet start shoot wall not know cheat
com.tencent.ig,personnellement ces un très bon jeux rien a dire,personally good game
